DSCAM interactions	DSCAML1
Metabolism of nitric oxide	GCHFR
Cell junction organization	CD151
Cell junction organization	CDH7
Cell junction organization	CLDN20
Cell junction organization	CLDN11
Collagen formation	COL11A1
Collagen formation	COL27A1
Collagen formation	CD151
trans-Golgi Network Vesicle Budding	TPD52L1
trans-Golgi Network Vesicle Budding	DNAJC6
Latent infection of Homo sapiens with Mycobacterium tuberculosis	ATP6V1G3
ABC-family proteins mediated transport	ABCA2
Ion channel transport	SGK2
Ion channel transport	GABRA3
Ion channel transport	GLRA1
Ion channel transport	GLRA4
Signaling by ERBB4	ERBB4
Signaling by ERBB4	EGF
Signaling by ERBB4	GFAP
Signaling by ERBB4	GAB1
PI3K/AKT Signaling in Cancer	GAB1
PI3K/AKT Signaling in Cancer	EGF
PI3K/AKT Signaling in Cancer	ERBB4
Signaling by NOTCH1 in Cancer	DTX1
Signaling by NOTCH1 in Cancer	CNTN1
Meiotic Synapsis	SYCP2
Myogenesis	NTN3
Transmission across Chemical Synapses	GRIA4
Transmission across Chemical Synapses	GRIK3
Transmission across Chemical Synapses	GABRA3
Transmission across Chemical Synapses	SLC6A11
Transmission across Chemical Synapses	CHRNA4
Iron uptake and transport	ATP6V1G3
PIP3 activates AKT signaling	GAB1
PIP3 activates AKT signaling	EGF
PIP3 activates AKT signaling	ERBB4
SLC-mediated transmembrane transport	SLC15A2
SLC-mediated transmembrane transport	SLC13A5
SLC-mediated transmembrane transport	SLC47A2
SLC-mediated transmembrane transport	SLC6A11
SLC-mediated transmembrane transport	SLC6A9
SLC-mediated transmembrane transport	SLC44A5
SLC-mediated transmembrane transport	SLC26A4
Mucopolysaccharidoses	GPC3
Mucopolysaccharidoses	BCAN
Mucopolysaccharidoses	B3GAT2
Mucopolysaccharidoses	HS3ST6
Signaling by FGFR in disease	GAB1
Signaling by FGFR in disease	EGF
Signaling by FGFR in disease	ERBB4
Signaling by SCF-KIT	GAB1
Signaling by SCF-KIT	EGF
Signaling by SCF-KIT	ERBB4
Elastic fibre formation	ITGB8
Aquaporin-mediated transport	AQP4
Signaling by EGFR in Cancer	EGF
Signaling by EGFR in Cancer	ERBB4
Signaling by EGFR in Cancer	GAB1
Signaling by EGFR in Cancer	ADAM12
Signaling by NOTCH	DTX1
Signaling by NOTCH	CNTN1
Metabolism of carbohydrates	GPC3
Metabolism of carbohydrates	BCAN
Metabolism of carbohydrates	B3GAT2
Metabolism of carbohydrates	HS3ST6
Signaling by FGFR	GAB1
Signaling by FGFR	EGF
Signaling by FGFR	ERBB4
Axon guidance	CNTN2
Axon guidance	NFASC
Axon guidance	LAMA1
Axon guidance	CNTN1
Axon guidance	CRMP1
Signaling by GPCR	GRPR
Signaling by GPCR	NPY
Signaling by GPCR	HRH3
Signaling by GPCR	HTR1E
Signaling by GPCR	TSHB
Signaling by GPCR	GPR17
Signaling by GPCR	WNT6
Signaling by GPCR	GRM3
Signaling by GPCR	GRM7
Signaling by GPCR	GPRC6A
Signaling by GPCR	PDE8B
Signaling by Insulin receptor	ATP6V1G3
Signaling by Insulin receptor	GAB1
Signaling by EGFR	EGF
Signaling by EGFR	ERBB4
Signaling by EGFR	GAB1
Signaling by EGFR	ADAM12
Signaling by ERBB2	ERBB4
Signaling by ERBB2	EGF
Signaling by ERBB2	GAB1
Signaling by PDGF	GAB1
Signaling by PDGF	EGF
Signaling by PDGF	ERBB4
Integrin cell surface interactions	ITGB8
Signaling by Rho GTPases	CHN2
Signaling by Rho GTPases	RHOU
Post-translational protein modification	PIGA
Metabolism of lipids and lipoproteins	SLC44A5
Metabolism of lipids and lipoproteins	PLTP
Metabolism of lipids and lipoproteins	PTGDS
Metabolism of lipids and lipoproteins	NEU4
Metabolism of lipids and lipoproteins	GAL3ST1
Metabolism of lipids and lipoproteins	ELOVL7
Signaling by Wnt	WNT6
Platelet activation, signaling and aggregation	EGF
Platelet activation, signaling and aggregation	CD9
Peptide hormone metabolism	TSHB
Signalling by NGF	GAB1
Signalling by NGF	EGF
Signalling by NGF	ERBB4
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	GAB1
Innate Immune System	GAB1
Innate Immune System	EGF
Innate Immune System	ERBB4
Innate Immune System	MAPK10
Innate Immune System	CD59
Factors involved in megakaryocyte development and platelet production	DOCK10
Visual phototransduction	GPC3
Adaptive Immune System	GAB1
Adaptive Immune System	EGF
Adaptive Immune System	ERBB4
Metabolism of amino acids and derivatives	TSHB
Metabolism of amino acids and derivatives	SLC6A11
Chromosome Maintenance	SYCP2
Diseases associated with visual transduction	GPC3
Degradation of the extracellular matrix	BCAN
Cytokine Signaling in Immune system	XAF1
